hr,atemp,workingday,season_summer,mnth,hum,season_winter,weathersit_light rain
3,0.0758,0,0,1,0.46,1,0
4,0.0909,0,0,1,0.53,1,0
5,0.0909,0,0,1,0.53,1,0
6,0.0909,0,0,1,0.49,1,0
7,0.0909,0,0,1,0.53,1,0
8,0.0909,0,0,1,0.49,1,0
9,0.0758,0,0,1,0.46,1,0
10,0.1061,0,0,1,0.43,1,0
11,0.1212,0,0,1,0.4,1,0
12,0.1364,0,0,1,0.37,1,0
13,0.1667,0,0,1,0.34,1,0
14,0.1818,0,0,1,0.32,1,0
15,0.197,0,0,1,0.35,1,0
16,0.1667,0,0,1,0.34,1,0
17,0.1515,0,0,1,0.37,1,0
18,0.1364,0,0,1,0.4,1,0
19,0.1364,0,0,1,0.43,1,0
20,0.1212,0,0,1,0.46,1,0
21,0.1061,0,0,1,0.46,1,0
22,0.1212,0,0,1,0.46,1,0
23,0.1364,0,0,1,0.5,1,0
0,0.1212,1,0,1,0.5,1,0
1,0.1212,1,0,1,0.5,1,0
2,0.1212,1,0,1,0.5,1,0
3,0.1212,1,0,1,0.5,1,0
4,0.1212,1,0,1,0.54,1,0
5,0.1061,1,0,1,0.54,1,0
6,0.1212,1,0,1,0.5,1,0
7,0.1212,1,0,1,0.5,1,0
8,0.1212,1,0,1,0.5,1,0
9,0.1212,1,0,1,0.5,1,0
10,0.1212,1,0,1,0.5,1,0
11,0.1364,1,0,1,0.47,1,0
12,0.1818,1,0,1,0.4,1,0
13,0.1818,1,0,1,0.4,1,0
14,0.197,1,0,1,0.4,1,0
15,0.197,1,0,1,0.4,1,0
16,0.2121,1,0,1,0.4,1,0
17,0.2273,1,0,1,0.4,1,0
18,0.197,1,0,1,0.4,1,0
19,0.1667,1,0,1,0.47,1,0
20,0.1667,1,0,1,0.5,1,0
21,0.1364,1,0,1,0.59,1,0
22,0.1515,1,0,1,0.59,1,0
23,0.1515,1,0,1,0.59,1,0
0,0.1667,1,0,1,0.59,1,0
1,0.1515,1,0,1,0.59,1,0
2,0.1515,1,0,1,0.55,1,0
5,0.1818,1,0,1,0.55,1,0
6,0.1818,1,0,1,0.55,1,0
7,0.2273,1,0,1,0.55,1,0
8,0.2121,1,0,1,0.51,1,0
9,0.197,1,0,1,0.51,1,0
10,0.2121,1,0,1,0.51,1,0
11,0.2121,1,0,1,0.47,1,0
12,0.2273,1,0,1,0.51,1,0
13,0.2273,1,0,1,0.59,1,0
14,0.2273,1,0,1,0.59,1,0
15,0.197,1,0,1,0.8,1,0
16,0.1515,1,0,1,0.86,1,0
17,0.1515,1,0,1,0.86,1,0
18,0.1818,1,0,1,0.93,1,1
19,0.2273,1,0,1,0.93,1,1
20,0.1515,1,0,1,0.93,1,1
21,0.197,1,0,1,0.86,1,1
22,0.1818,1,0,1,0.93,1,1
23,0.197,1,0,1,0.93,1,1
0,0.197,1,0,1,0.86,1,0
1,0.1818,1,0,1,0.86,1,0
2,0.1515,1,0,1,0.86,1,0
5,0.1515,1,0,1,0.86,1,0
6,0.1515,1,0,1,0.93,1,0
7,0.1515,1,0,1,0.69,1,0
8,0.1667,1,0,1,0.59,1,0
9,0.1364,1,0,1,0.59,1,0
10,0.1818,1,0,1,0.55,1,0
11,0.1818,1,0,1,0.51,1,0
12,0.1515,1,0,1,0.47,1,0
13,0.197,1,0,1,0.44,1,0
14,0.1818,1,0,1,0.47,1,0
15,0.1667,1,0,1,0.47,1,0
16,0.197,1,0,1,0.44,1,0
17,0.1818,1,0,1,0.47,1,0
18,0.1515,1,0,1,0.47,1,0
19,0.1515,1,0,1,0.47,1,0
20,0.1364,1,0,1,0.5,1,0
21,0.1364,1,0,1,0.55,1,0
22,0.1212,1,0,1,0.55,1,0
23,0.1061,1,0,1,0.59,1,0
0,0.1212,1,0,1,0.59,1,0
1,0.1212,1,0,1,0.5,1,0
2,0.1212,1,0,1,0.5,1,0
3,0.1212,1,0,1,0.5,1,0
4,0.1212,1,0,1,0.5,1,0
5,0.1212,1,0,1,0.5,1,0
6,0.1515,1,0,1,0.54,1,0
7,0.1515,1,0,1,0.54,1,0
8,0.1364,1,0,1,0.5,1,0
9,0.1212,1,0,1,0.5,1,0
10,0.1364,1,0,1,0.5,1,0
11,0.1667,1,0,1,0.44,1,0
12,0.1667,1,0,1,0.44,1,0
13,0.197,1,0,1,0.41,1,0
14,0.197,1,0,1,0.41,1,0
15,0.2121,1,0,1,0.38,1,0
16,0.2121,1,0,1,0.38,1,0
17,0.1818,1,0,1,0.4,1,0
18,0.1818,1,0,1,0.4,1,0
19,0.1515,1,0,1,0.47,1,0
20,0.1515,1,0,1,0.47,1,0
21,0.1212,1,0,1,0.46,1,0
22,0.1212,1,0,1,0.46,1,0
23,0.1364,1,0,1,0.5,1,0
0,0.1364,1,0,1,0.5,1,0
1,0.1212,1,0,1,0.54,1,0
2,0.1212,1,0,1,0.54,1,0
3,0.1364,1,0,1,0.54,1,0
5,0.1364,1,0,1,0.54,1,0
6,0.1818,1,0,1,0.54,1,0
7,0.1212,1,0,1,0.74,1,0
8,0.1667,1,0,1,0.68,1,0
9,0.1515,1,0,1,0.69,1,0
10,0.1818,1,0,1,0.55,1,0
11,0.1667,1,0,1,0.51,1,0
12,0.197,1,0,1,0.44,1,0
13,0.197,1,0,1,0.37,1,0
14,0.2121,1,0,1,0.41,1,0
15,0.2424,1,0,1,0.38,1,0
16,0.2424,1,0,1,0.41,1,0
17,0.2273,1,0,1,0.41,1,0
18,0.2576,1,0,1,0.47,1,0
19,0.197,1,0,1,0.59,1,0
20,0.2424,1,0,1,0.59,1,0
21,0.2273,1,0,1,0.69,1,0
22,0.2273,1,0,1,0.69,1,0
23,0.2424,1,0,1,0.55,1,0
0,0.2424,0,0,1,0.55,1,0
1,0.197,0,0,1,0.59,1,0
2,0.197,0,0,1,0.59,1,0
3,0.2273,0,0,1,0.59,1,0
4,0.2273,0,0,1,0.59,1,0
5,0.2273,0,0,1,0.59,1,0
6,0.1667,0,0,1,0.63,1,0
7,0.2121,0,0,1,0.63,1,0
8,0.1515,0,0,1,0.63,1,0
9,0.1818,0,0,1,0.64,1,0
10,0.197,0,0,1,0.59,1,0
11,0.197,0,0,1,0.55,1,0
12,0.2273,0,0,1,0.48,1,0
13,0.2576,0,0,1,0.38,1,0
14,0.2879,0,0,1,0.39,1,0
15,0.3182,0,0,1,0.36,1,0
16,0.3333,0,0,1,0.34,1,0
17,0.303,0,0,1,0.36,1,0
18,0.2879,0,0,1,0.45,1,0
19,0.303,0,0,1,0.39,1,0
20,0.303,0,0,1,0.39,1,0
21,0.303,0,0,1,0.39,1,0
22,0.3182,0,0,1,0.42,1,0
23,0.2879,0,0,1,0.45,1,0
0,0.303,0,0,1,0.56,1,0
1,0.2727,0,0,1,0.56,1,0
2,0.2879,0,0,1,0.56,1,0
3,0.2727,0,0,1,0.69,1,0
4,0.2576,0,0,1,0.56,1,0
5,0.2576,0,0,1,0.56,1,0
6,0.2576,0,0,1,0.56,1,0
7,0.2121,0,0,1,0.56,1,0
8,0.2121,0,0,1,0.55,1,0
9,0.2121,0,0,1,0.51,1,0
10,0.2121,0,0,1,0.51,1,0
11,0.2273,0,0,1,0.44,1,0
12,0.2121,0,0,1,0.41,1,0
13,0.2273,0,0,1,0.35,1,0
14,0.2727,0,0,1,0.36,1,0
15,0.2424,0,0,1,0.38,1,0
16,0.2273,0,0,1,0.38,1,0
17,0.2121,0,0,1,0.37,1,0
18,0.2121,0,0,1,0.4,1,0
19,0.197,0,0,1,0.47,1,0
20,0.197,0,0,1,0.47,1,0
21,0.197,0,0,1,0.51,1,0
22,0.2121,0,0,1,0.49,1,0
23,0.2273,0,0,1,0.4,1,0
0,0.197,0,0,1,0.47,1,0
1,0.197,0,0,1,0.44,1,0
2,0.1667,0,0,1,0.43,1,0
3,0.1818,0,0,1,0.43,1,0
4,0.197,0,0,1,0.43,1,0
5,0.197,0,0,1,0.43,1,0
6,0.1818,0,0,1,0.43,1,0
7,0.1818,0,0,1,0.5,1,0
8,0.1515,0,0,1,0.47,1,0
9,0.1515,0,0,1,0.47,1,0
10,0.1515,0,0,1,0.5,1,0
11,0.1515,0,0,1,0.55,1,0
12,0.197,0,0,1,0.47,1,0
13,0.197,0,0,1,0.47,1,0
14,0.2121,0,0,1,0.43,1,0
15,0.2121,0,0,1,0.47,1,0
16,0.2121,0,0,1,0.47,1,0
17,0.197,0,0,1,0.51,1,0
18,0.1667,0,0,1,0.55,1,0
19,0.1818,0,0,1,0.59,1,1
20,0.1515,0,0,1,0.8,1,1
21,0.1515,0,0,1,0.8,1,1
22,0.1212,0,0,1,0.93,1,1
23,0.1364,0,0,1,0.86,1,1
12,0.1818,1,0,1,0.86,1,0
13,0.197,1,0,1,0.86,1,0
14,0.2273,1,0,1,0.8,1,0
15,0.2273,1,0,1,0.87,1,0
16,0.2273,1,0,1,0.87,1,0
17,0.2273,1,0,1,0.82,1,0
18,0.2273,1,0,1,0.8,1,0
19,0.2273,1,0,1,0.8,1,0
20,0.2727,1,0,1,0.87,1,0
21,0.2424,1,0,1,0.93,1,0
22,0.2576,1,0,1,0.93,1,0
23,0.2727,1,0,1,0.93,1,0
0,0.2727,1,0,1,0.93,1,0
1,0.2273,1,0,1,0.93,1,1
2,0.2273,1,0,1,0.93,1,1
4,0.2273,1,0,1,0.93,1,1
5,0.2576,1,0,1,0.93,1,0
6,0.2576,1,0,1,0.93,1,0
7,0.2576,1,0,1,0.92,1,0
8,0.2576,1,0,1,0.93,1,0
9,0.2576,1,0,1,0.93,1,0
10,0.2727,1,0,1,0.93,1,0
11,0.303,1,0,1,0.87,1,0
12,0.3182,1,0,1,0.81,1,0
13,0.4091,1,0,1,0.62,1,0
14,0.4091,1,0,1,0.58,1,0
15,0.4091,1,0,1,0.54,1,0
16,0.3939,1,0,1,0.58,1,0
17,0.3333,1,0,1,0.57,1,0
18,0.3182,1,0,1,0.61,1,0
19,0.2879,1,0,1,0.57,1,0
20,0.303,1,0,1,0.49,1,0
21,0.2879,1,0,1,0.49,1,0
22,0.303,1,0,1,0.52,1,0
23,0.2727,1,0,1,0.52,1,0
0,0.2273,1,0,1,0.56,1,0
1,0.2727,1,0,1,0.56,1,0
2,0.2727,1,0,1,0.56,1,0
3,0.2576,1,0,1,0.56,1,0
4,0.2576,1,0,1,0.56,1,0
5,0.2273,1,0,1,0.6,1,0
6,0.2121,1,0,1,0.6,1,0
7,0.2121,1,0,1,0.55,1,0
8,0.2121,1,0,1,0.55,1,0
9,0.2273,1,0,1,0.52,1,0
10,0.2273,1,0,1,0.48,1,0
11,0.2727,1,0,1,0.45,1,0
12,0.3333,1,0,1,0.42,1,0
13,0.2879,1,0,1,0.45,1,0
14,0.303,1,0,1,0.45,1,0
15,0.3182,1,0,1,0.45,1,0
16,0.303,1,0,1,0.49,1,0
17,0.3182,1,0,1,0.49,1,0
18,0.2576,1,0,1,0.56,1,0
19,0.2273,1,0,1,0.56,1,0
20,0.2424,1,0,1,0.6,1,0
21,0.2273,1,0,1,0.6,1,0
22,0.2121,1,0,1,0.65,1,0
23,0.2121,1,0,1,0.65,1,0
0,0.2273,1,0,1,0.7,1,0
1,0.2273,1,0,1,0.7,1,0
2,0.2424,1,0,1,0.75,1,1
3,0.2121,1,0,1,0.8,1,1
4,0.2576,1,0,1,0.87,1,0
5,0.197,1,0,1,0.6,1,0
6,0.2121,1,0,1,0.55,1,0
7,0.1818,1,0,1,0.51,1,0
8,0.1818,1,0,1,0.47,1,0
9,0.1818,1,0,1,0.51,1,0
10,0.1667,1,0,1,0.47,1,0
11,0.1818,1,0,1,0.41,1,0
12,0.1818,1,0,1,0.27,1,0
13,0.1515,1,0,1,0.21,1,0
14,0.1515,1,0,1,0.25,1,0
15,0.1212,1,0,1,0.26,1,0
16,0.1364,1,0,1,0.26,1,0
17,0.1212,1,0,1,0.28,1,0
18,0.1212,1,0,1,0.3,1,0
19,0.1061,1,0,1,0.3,1,0
20,0.0758,1,0,1,0.33,1,0
21,0.0758,1,0,1,0.38,1,0
22,0.0303,1,0,1,0.41,1,0
23,0.0455,1,0,1,0.38,1,0
0,0.0303,0,0,1,0.45,1,0
1,0.0,0,0,1,0.41,1,0
2,0.0303,0,0,1,0.41,1,0
3,0.0303,0,0,1,0.41,1,0
4,0.0152,0,0,1,0.48,1,0
6,0.0303,0,0,1,0.44,1,0
7,0.0152,0,0,1,0.44,1,0
8,0.0,0,0,1,0.44,1,0
9,0.0303,0,0,1,0.41,1,0
10,0.0606,0,0,1,0.41,1,0
11,0.0758,0,0,1,0.38,1,0
12,0.1061,0,0,1,0.38,1,0
13,0.1667,0,0,1,0.35,1,0
14,0.1364,0,0,1,0.33,1,0
15,0.1515,0,0,1,0.28,1,0
16,0.1364,0,0,1,0.28,1,0
17,0.197,0,0,1,0.28,1,0
18,0.0909,0,0,1,0.35,1,0
19,0.1061,0,0,1,0.35,1,0
20,0.0758,0,0,1,0.45,1,0
21,0.1061,0,0,1,0.41,1,0
22,0.1515,0,0,1,0.49,1,0
23,0.0758,0,0,1,0.57,1,0
0,0.0758,0,0,1,0.57,1,0
1,0.0758,0,0,1,0.57,1,0
2,0.0606,0,0,1,0.62,1,0
3,0.0606,0,0,1,0.62,1,0
5,0.0758,0,0,1,0.57,1,0
6,0.0758,0,0,1,0.57,1,0
7,0.1061,0,0,1,0.58,1,0
8,0.0758,0,0,1,0.62,1,0
9,0.0758,0,0,1,0.54,1,0
10,0.1061,0,0,1,0.46,1,0
11,0.1364,0,0,1,0.43,1,0
12,0.1212,0,0,1,0.37,1,0
13,0.1061,0,0,1,0.33,1,0
14,0.1364,0,0,1,0.28,1,0
15,0.1364,0,0,1,0.28,1,0
16,0.1364,0,0,1,0.26,1,0
17,0.1061,0,0,1,0.26,1,0
18,0.1212,0,0,1,0.3,1,0
19,0.1212,0,0,1,0.3,1,0
20,0.1061,0,0,1,0.36,1,0
21,0.1061,0,0,1,0.36,1,0
22,0.0909,0,0,1,0.38,1,0
23,0.0606,0,0,1,0.41,1,0
0,0.0606,1,0,1,0.41,1,0
1,0.0455,1,0,1,0.45,1,0
3,0.0303,1,0,1,0.45,1,0
4,0.0606,1,0,1,0.48,1,0
5,0.0606,1,0,1,0.48,1,0
6,0.0758,1,0,1,0.48,1,0
7,0.1212,1,0,1,0.48,1,0
8,0.1364,1,0,1,0.49,1,0
9,0.1515,1,0,1,0.41,1,0
10,0.1364,1,0,1,0.42,1,0
11,0.1212,1,0,1,0.46,1,0
12,0.1364,1,0,1,0.42,1,0
13,0.1364,1,0,1,0.43,1,0
14,0.1364,1,0,1,0.46,1,0
15,0.1667,1,0,1,0.4,1,0
16,0.1515,1,0,1,0.47,1,0
17,0.1212,1,0,1,0.5,1,0
18,0.1364,1,0,1,0.59,1,0
19,0.1515,1,0,1,0.54,1,0
20,0.1364,1,0,1,0.59,1,0
21,0.1515,1,0,1,0.63,1,0
22,0.1364,1,0,1,0.63,1,0
23,0.1515,1,0,1,0.64,1,0
0,0.1364,1,0,1,0.69,1,0
1,0.1667,1,0,1,0.69,1,0
2,0.1515,1,0,1,0.69,1,0
4,0.1667,1,0,1,0.74,1,0
5,0.1364,1,0,1,0.74,1,0
6,0.1818,1,0,1,0.74,1,0
7,0.1515,1,0,1,0.74,1,0
8,0.1818,1,0,1,0.74,1,0
9,0.2273,1,0,1,0.64,1,0
10,0.2424,1,0,1,0.6,1,0
11,0.2424,1,0,1,0.6,1,0
12,0.2879,1,0,1,0.56,1,0
13,0.2727,1,0,1,0.56,1,0
14,0.3333,1,0,1,0.45,1,0
15,0.3485,1,0,1,0.42,1,0
16,0.3485,1,0,1,0.42,1,0
17,0.3333,1,0,1,0.45,1,0
18,0.3182,1,0,1,0.49,1,0
19,0.2576,1,0,1,0.65,1,0
20,0.2273,1,0,1,0.65,1,0
21,0.2273,1,0,1,0.65,1,0
22,0.2273,1,0,1,0.64,1,0
23,0.2273,1,0,1,0.64,1,0
0,0.2273,1,0,1,0.69,1,0
1,0.2424,1,0,1,0.65,1,0
2,0.2273,1,0,1,0.69,1,1
5,0.1818,1,0,1,0.86,1,1
6,0.1818,1,0,1,0.86,1,1
7,0.2121,1,0,1,0.87,1,1
8,0.2121,1,0,1,0.87,1,1
9,0.2121,1,0,1,0.87,1,1
10,0.2121,1,0,1,0.93,1,1
11,0.197,1,0,1,0.93,1,1
12,0.197,1,0,1,0.93,1,1
13,0.197,1,0,1,0.93,1,1
14,0.197,1,0,1,0.93,1,1
15,0.1818,1,0,1,0.93,1,1
16,0.197,1,0,1,0.93,1,0
17,0.1818,1,0,1,0.93,1,1
16,0.2273,1,0,1,0.55,1,0
17,0.2424,1,0,1,0.55,1,0
18,0.2273,1,0,1,0.69,1,0
19,0.2273,1,0,1,0.69,1,0
20,0.2121,1,0,1,0.74,1,0
21,0.2121,1,0,1,0.74,1,0
22,0.2121,1,0,1,0.74,1,0
23,0.197,1,0,1,0.8,1,0
0,0.2121,1,0,1,0.75,1,0
1,0.2121,1,0,1,0.75,1,0
2,0.2121,1,0,1,0.75,1,0
3,0.2273,1,0,1,0.75,1,0
5,0.2121,1,0,1,0.8,1,0
6,0.197,1,0,1,0.8,1,0
7,0.197,1,0,1,0.86,1,0
8,0.197,1,0,1,0.86,1,0
9,0.2121,1,0,1,0.86,1,1
10,0.2121,1,0,1,0.86,1,1
11,0.2121,1,0,1,0.93,1,1
12,0.2121,1,0,1,0.93,1,1
13,0.2121,1,0,1,0.93,1,1
14,0.2727,1,0,1,0.8,1,1
15,0.2576,1,0,1,0.86,1,0
16,0.2727,1,0,1,0.8,1,0
17,0.2424,1,0,1,0.75,1,0
18,0.2273,1,0,1,0.75,1,0
19,0.2424,1,0,1,0.75,1,0
20,0.2273,1,0,1,0.7,1,0
21,0.2273,1,0,1,0.75,1,0
22,0.2121,1,0,1,0.65,1,0
23,0.2273,1,0,1,0.6,1,0
0,0.197,0,0,1,0.64,1,0
1,0.2273,0,0,1,0.64,1,0
2,0.2273,0,0,1,0.64,1,0
3,0.2121,0,0,1,0.64,1,0
4,0.1818,0,0,1,0.69,1,0
6,0.1818,0,0,1,0.64,1,0
7,0.1818,0,0,1,0.59,1,0
8,0.197,0,0,1,0.55,1,0
9,0.2121,0,0,1,0.59,1,0
10,0.2121,0,0,1,0.64,1,0
11,0.197,0,0,1,0.64,1,0
12,0.197,0,0,1,0.59,1,0
13,0.2273,0,0,1,0.55,1,0
14,0.2273,0,0,1,0.6,1,0
15,0.2121,0,0,1,0.69,1,0
16,0.2424,0,0,1,0.6,1,0
17,0.2879,0,0,1,0.6,1,0
18,0.2273,0,0,1,0.69,1,0
19,0.2121,0,0,1,0.69,1,0
20,0.2121,0,0,1,0.74,1,0
21,0.2121,0,0,1,0.74,1,0
22,0.197,0,0,1,0.8,1,0
23,0.197,0,0,1,0.8,1,0
0,0.1818,0,0,1,0.8,1,0
1,0.2121,0,0,1,0.8,1,0
2,0.2273,0,0,1,0.8,1,0
3,0.2121,0,0,1,0.93,1,0
4,0.2121,0,0,1,0.93,1,0
5,0.2121,0,0,1,0.86,1,0
7,0.2121,0,0,1,0.86,1,0
8,0.2121,0,0,1,0.86,1,0
9,0.2273,0,0,1,0.8,1,0
10,0.2424,0,0,1,0.8,1,0
11,0.2727,0,0,1,0.75,1,0
12,0.3182,0,0,1,0.52,1,0
13,0.2879,0,0,1,0.61,1,0
14,0.303,0,0,1,0.61,1,0
15,0.3333,0,0,1,0.56,1,0
16,0.3333,0,0,1,0.56,1,0
17,0.2879,0,0,1,0.56,1,0
18,0.2576,0,0,1,0.65,1,0
19,0.2576,0,0,1,0.65,1,0
20,0.2727,0,0,1,0.65,1,0
21,0.2424,0,0,1,0.7,1,0
22,0.2273,0,0,1,0.7,1,0
23,0.2121,0,0,1,0.65,1,0
0,0.2273,1,0,1,0.65,1,0
1,0.2121,1,0,1,0.64,1,0
2,0.2273,1,0,1,0.64,1,0
